Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA COACH WILD ROSE EDP 50ML + 7.5ML TRAVEL SPRAY (P25),2PC,8822074,3.38646E+12,0,0.0,Red,True,
AA COACH WOMAN GOLD EDP 50ML + 7.5ML TRAVEL SPRAY (P25),2PC,8822108,3.38646E+12,0,0.0,Red,True,
AA COOLWATER WOMAN 30ML 2 PCE 21,30ML,9924416,3.6163E+12,2,2.0,Green,False,BAZK4
AA COOLWATER WOMENS 30ML 2PC SET (P23),SET,8793341,3.6163E+12,1,1.0,Green,False,BAZN3
AA D&amp;G DEVOTION EDP 50ML + 10ML TRAVEL SPRAY (P24),2PC,8790107,8.05797E+12,1,1.0,Green,False,BAZL4
AA D&amp;G DEVOTION EDP 50ML + MINI MASCARA + TS (P25),3PCE,8822769,8.05797E+12,1,1.0,Green,True,bazh2
AA D&amp;G LIGHT BLUE EDT 50ML + 10ML TS SET (P24),2PCE,8822819,,0,0.0,Red,False,
AA D&amp;G LIGHT BLUE EDT 50ML + CANDLE + MINI EDT SET (P24),3PCE,8822801,8.05475E+12,0,0.0,Red,False,
AA D&amp;G Q EDP 50ML + 5ML MINI SET (P24),2PEC,8822793,8.05475E+12,5,5.0,Green,False,BAZI3
AA D&amp;G Q EDP 50ML 2 PCE SET (P23),SET,8795932,8.05797E+12,4,4.0,Green,False,BAZK5
AA DKNY 24/7 EDP 50ML + 15ML EDP TRAVEL SPRAY (P24),2PC,8822116,85715961044,0,0.0,Red,False,BAZP5
AA DKNY BE DELICIOUS 30ML EDP + 100ML BODY LOTION (P24),2PC,8822124,85715961167,0,0.0,Red,False,BAZG5
AA DKNY ORIGINAL WOMEN 100ML EDT + 100ML BODY LOTION (P24),2PC,8822140,85715952189,0,0.0,Red,False,BAZO3
AA E ARDEN 5TH AVE 125ML EDT 2PC SET (P24),SET,8825119,085805260620,0,0.0,Red,False,BAZI3
AA E ARDEN EIGHT HOUR ENTRY NOURISHING SKIN ESSENTIALS 3 PCE SET (P24),SET(WHITE),8825077,085805378004,0,0.0,Red,False,BAZJ3
AA E ARDEN EIGHT HOUR MIRACLE OIL 3 PCE SET (P24),SET,8825093,085805377724,0,0.0,Red,False,
AA E ARDEN EIGHT HOUR SKIN ESSENTIALS 3 PCE SET (P24),SET,8825085,085805377687,0,0.0,Red,False,BAZH4
AA E ARDEN GRAND ENTRANCE MASCARA 3 PCE SET (P24),SET,8825101,085805259228,0,0.0,Red,False,BAZK3
AA E ARDEN SUNFLOWERS 100ML EDT MASS SET  (P22),SET,8713786,085805213411,0,0.0,Red,False,BAZO3
AA E ARDEN SUNFLOWERS EDT 2PC SET (P24),SET,8825127,085805260613,0,0.0,Red,False,
AA E ARDEN WHITE DIAMONDS 50ML EDT 4PC SET (P24),SET,8825135,7.19346E+11,0,0.0,Red,False,BAZG4
AA ELIE SAAB ELIXIR EDP 50ML + 10ML TSPRAY (P23),2PC,8790206,7.64023E+12,3,3.0,Green,False,BAZJ4
