Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,TRUE,"AMH-G2, A2DN01"
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,TE8
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,TH6
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,TRUE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,BAZK5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,BAZG3
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,BAZI5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,BAZP5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,BAZK3
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0,Red,FALSE,
